;Year;Month;Plant_Id;Capacity_MW
6;2015;7;3.0;1612.5
7;2015;8;3.0;1612.5
8;2015;9;3.0;1612.5
9;2015;10;3.0;1612.5
10;2015;11;3.0;1612.5
11;2015;12;3.0;1612.5
12;2016;1;3.0;1612.5
13;2016;2;3.0;1612.5
14;2016;3;3.0;1088.5
15;2016;4;3.0;1088.5
16;2016;5;3.0;1088.5
17;2016;6;3.0;1088.5
18;2016;7;3.0;1088.5
19;2016;8;3.0;1088.5
20;2016;9;3.0;1088.5
21;2016;10;3.0;1088.5
22;2016;11;3.0;1088.5
23;2016;12;3.0;1088.5
24;2017;1;3.0;1088.5
25;2017;2;3.0;1088.5
26;2017;3;3.0;1088.5
27;2017;4;3.0;1100.5
28;2017;5;3.0;1100.5
29;2017;6;3.0;1088.5
30;2017;7;3.0;1100.5
31;2017;8;3.0;1100.5
32;2017;9;3.0;1100.5
33;2017;10;3.0;1100.5
34;2017;11;3.0;1100.5
35;2017;12;3.0;1100.5
36;2018;1;3.0;1100.5
37;2018;2;3.0;1100.5
38;2018;3;3.0;1100.5
39;2018;4;3.0;1100.5
40;2018;5;3.0;1100.5
41;2018;6;3.0;1118.5
42;2018;7;3.0;1118.5
43;2018;8;3.0;1100.5
44;2018;9;3.0;1118.5
45;2018;10;3.0;1118.5
46;2018;11;3.0;1118.5
47;2018;12;3.0;1118.5
48;2019;1;3.0;1118.5
49;2019;2;3.0;1118.5
50;2019;3;3.0;1118.5
51;2019;4;3.0;1118.5
52;2019;5;3.0;1118.5
53;2019;6;3.0;1118.5
54;2019;7;3.0;1118.5
55;2019;8;3.0;1118.5
56;2019;9;3.0;1118.5
57;2019;10;3.0;1118.5
58;2019;11;3.0;1118.5
59;2019;12;3.0;1118.5
60;2020;1;3.0;1118.5
61;2020;2;3.0;1118.5
62;2020;3;3.0;1118.5
63;2020;4;3.0;1118.5
64;2020;5;3.0;1118.5
65;2020;6;3.0;1118.5
66;2020;7;3.0;1118.5
67;2020;8;3.0;1118.5
68;2020;9;3.0;1118.5
69;2020;10;3.0;1118.5
70;2020;11;3.0;1118.5
71;2020;12;3.0;1118.5
72;2021;1;3.0;1118.5
73;2021;2;3.0;1118.5
74;2021;3;3.0;1118.5
75;2021;4;3.0;1118.5
76;2021;5;3.0;1118.5
77;2021;6;3.0;1118.5
78;2021;7;3.0;1118.5
79;2021;8;3.0;1118.5
80;2021;9;3.0;1019.65
81;2021;10;3.0;920.8
82;2021;11;3.0;821.95
0;2015;1;7.0;723.1
1;2015;2;7.0;624.25
2;2015;3;7.0;525.4000000000001
3;2015;4;7.0;426.55000000000007
