;Year;Month;Plant_Id;Capacity_MW
0;2008;12;3.0;403.7
1;2009;1;3.0;278.4
2;2009;2;3.0;153.1
3;2009;3;3.0;207.5
4;2009;4;3.0;261.9
5;2009;5;3.0;316.29999999999995
6;2009;6;3.0;370.7
7;2009;7;3.0;425.1
8;2009;8;3.0;546.3333333333334
9;2009;9;3.0;667.5666666666666
10;2009;10;3.0;788.8
11;2009;11;3.0;596.25
12;2009;12;3.0;403.7
13;2010;1;3.0;278.4
14;2010;2;3.0;153.1
15;2010;3;3.0;207.5
16;2010;4;3.0;261.9
17;2010;5;3.0;316.29999999999995
18;2010;6;3.0;370.7
19;2010;7;3.0;425.1
20;2010;8;3.0;546.3333333333334
21;2010;9;3.0;667.5666666666666
22;2010;10;3.0;788.8
23;2010;11;3.0;596.25
24;2010;12;3.0;403.7
25;2011;1;3.0;278.4
26;2011;2;3.0;153.1
27;2011;3;3.0;207.5
28;2011;4;3.0;261.9
29;2011;5;3.0;316.29999999999995
30;2011;6;3.0;370.7
31;2011;7;3.0;425.1
32;2011;8;3.0;546.3333333333334
33;2011;9;3.0;667.5666666666666
34;2011;10;3.0;788.8
35;2011;11;3.0;596.25
36;2011;12;3.0;403.7
37;2012;1;3.0;278.4
38;2012;2;3.0;153.1
39;2012;3;3.0;207.5
40;2012;4;3.0;261.9
41;2012;5;3.0;316.29999999999995
42;2012;6;3.0;370.7
43;2012;7;3.0;425.1
44;2012;8;3.0;546.3333333333334
45;2012;9;3.0;667.5666666666666
46;2012;10;3.0;788.8
47;2012;11;3.0;596.25
48;2012;12;3.0;403.7
49;2013;1;3.0;278.4
50;2013;2;3.0;153.1
51;2013;3;3.0;207.5
52;2013;4;3.0;261.9
53;2013;5;3.0;316.29999999999995
54;2013;6;3.0;370.7
55;2013;7;3.0;425.1
56;2013;8;3.0;546.3333333333334
57;2013;9;3.0;667.5666666666666
58;2013;10;3.0;788.8
59;2013;11;3.0;596.25
60;2013;12;3.0;403.7
61;2014;1;3.0;278.4
62;2014;2;3.0;153.1
63;2014;3;3.0;207.5
64;2014;4;3.0;261.9
