;dates;Year;Month;C02 prices
0;14.11.2012;2012;11;10.09
1;19.02.2013;2013;2;13.62
2;16.05.2013;2013;5;14.0
3;16.08.2013;2013;8;12.22
4;19.11.2013;2013;11;11.48
5;19.02.2014;2014;2;11.48
6;16.05.2014;2014;5;11.5
7;18.08.2014;2014;8;11.5
8;25.11.2014;2014;11;12.1
9;18.02.2015;2015;2;12.21
10;21.05.2015;2015;5;12.29
11;18.08.2015;2015;8;12.52
12;17.11.2015;2015;11;12.73
13;17.02.2016;2016;2;12.73
14;18.05.2016;2016;5;12.73
15;16.08.2016;2016;8;12.73
16;15.11.2016;2016;11;12.73
17;22.02.2017;2017;2;13.57
18;16.05.2017;2017;5;13.8
19;15.08.2017;2017;8;14.75
20;14.11.2017;2017;11;15.06
21;21.02.2018;2018;2;14.61
22;15.05.2018;2018;5;14.65
23;15.08.2018;2018;8;15.05
24;14.11.2018;2018;11;15.31
25;20.02.2019;2019;2;15.73
26;14.05.2019;2019;5;17.45
27;19.08.2019;2019;8;17.16
28;19.11.2019;2019;11;17.0
29;19.02.2020;2020;2;17.87
30;20.05.2020;2020;5;16.68
31;18.08.2020;2020;8;16.68
32;17.11.2020;2020;11;16.93
33;17.02.2021;2021;2;17.8
34;19.05.2021;2021;5;18.8
