YYYYMM;Value;Unit;Year;Month;Production
200712;37.06;$/ton;2007;12;
200801;37.18;$/ton;2008;1;
200802;38.27;$/ton;2008;2;
200803;38.86;$/ton;2008;3;
200804;40.35;$/ton;2008;4;
200805;41.36;$/ton;2008;5;
200806;;$/ton;2008;6;
200807;42.79;$/ton;2008;7;
200808;42.79;$/ton;2008;8;
200809;43.52;$/ton;2008;9;
200810;42.36;$/ton;2008;10;
200811;42.07;$/ton;2008;11;
200812;43.3;$/ton;2008;12;
200901;44.57;$/ton;2009;1;
200902;45.57;$/ton;2009;2;
200903;43.96;$/ton;2009;3;
200904;44.02;$/ton;2009;4;
200905;43.63;$/ton;2009;5;
200906;42.74;$/ton;2009;6;
200907;43.44;$/ton;2009;7;
200908;42.72;$/ton;2009;8;
200909;42.49;$/ton;2009;9;
200910;41.66;$/ton;2009;10;
200911;41.53;$/ton;2009;11;
200912;43.39;$/ton;2009;12;
201001;44.37;$/ton;2010;1;
201002;45.58;$/ton;2010;2;
201003;45.34;$/ton;2010;3;
201004;44.23;$/ton;2010;4;
201005;43.68;$/ton;2010;5;
201006;43.99;$/ton;2010;6;
201007;45.13;$/ton;2010;7;
201008;44.3;$/ton;2010;8;
201009;44.21;$/ton;2010;9;
201010;43.89;$/ton;2010;10;
201011;42.97;$/ton;2010;11;
201012;44.95;$/ton;2010;12;
201101;45.87;$/ton;2011;1;
201102;45.15;$/ton;2011;2;
201103;46.03;$/ton;2011;3;
201104;47.41;$/ton;2011;4;
201105;46.69;$/ton;2011;5;
201106;47.46;$/ton;2011;6;
201107;48.13;$/ton;2011;7;
201108;47.08;$/ton;2011;8;
201109;46.14;$/ton;2011;9;
201110;45.34;$/ton;2011;10;
201111;44.6;$/ton;2011;11;
201112;45.15;$/ton;2011;12;
201201;45.84;$/ton;2012;1;
201202;46.26;$/ton;2012;2;
201203;47.19;$/ton;2012;3;
201204;46.68;$/ton;2012;4;
201205;45.21;$/ton;2012;5;
201206;45.95;$/ton;2012;6;
201207;46.17;$/ton;2012;7;
201208;45.37;$/ton;2012;8;
201209;45.24;$/ton;2012;9;
201210;45.31;$/ton;2012;10;
201211;45.28;$/ton;2012;11;
