YYYYMM;Value;Unit;Year;Month;Production
200712;8.3175;$/ton;2007;12;
200801;8.6599;$/ton;2008;1;
200802;9.2982;$/ton;2008;2;
200803;9.9365;$/ton;2008;3;
200804;10.6947;$/ton;2008;4;
200805;12.0847;$/ton;2008;5;
200806;11.4131;$/ton;2008;6;
200807;8.7402;$/ton;2008;7;
200808;7.5933;$/ton;2008;8;
200809;6.5619;$/ton;2008;9;
200810;6.4719;$/ton;2008;10;
200811;6.7064;$/ton;2008;11;
200812;6.4407;$/ton;2008;12;
200901;5.4807;$/ton;2009;1;
200902;4.7999;$/ton;2009;2;
200903;4.5772;$/ton;2009;3;
200904;4.5832;$/ton;2009;4;
200905;4.5092;$/ton;2009;5;
200906;4.3551;$/ton;2009;6;
200907;4.1952;$/ton;2009;7;
200908;3.925;$/ton;2009;8;
200909;4.9312;$/ton;2009;9;
200910;4.9518;$/ton;2009;10;
200911;6.1063;$/ton;2009;11;
200912;6.8294;$/ton;2009;12;
201001;6.1428;$/ton;2010;1;
201002;5.3606;$/ton;2010;2;
201003;4.8003;$/ton;2010;3;
201004;4.8527;$/ton;2010;4;
201005;5.1951;$/ton;2010;5;
201006;5.2251;$/ton;2010;6;
201007;4.9464;$/ton;2010;7;
201008;4.5061;$/ton;2010;8;
201009;4.3511;$/ton;2010;9;
201010;4.4541;$/ton;2010;10;
201011;5.5605;$/ton;2010;11;
201012;5.5464;$/ton;2010;12;
201101;5.1833;$/ton;2011;1;
201102;4.7397;$/ton;2011;2;
201103;4.936;$/ton;2011;3;
201104;4.9459;$/ton;2011;4;
201105;5.1028;$/ton;2011;5;
201106;5.018;$/ton;2011;6;
201107;4.7534;$/ton;2011;7;
201108;4.6134;$/ton;2011;8;
201109;4.3944;$/ton;2011;9;
201110;4.1767;$/ton;2011;10;
201111;4.0961;$/ton;2011;11;
201112;3.7426;$/ton;2011;12;
201201;3.3919;$/ton;2012;1;
201202;3.0241;$/ton;2012;2;
201203;2.7447;$/ton;2012;3;
201204;2.9832;$/ton;2012;4;
201205;3.1432;$/ton;2012;5;
201206;3.4638;$/ton;2012;6;
201207;3.5271;$/ton;2012;7;
201208;3.4612;$/ton;2012;8;
201209;3.9147;$/ton;2012;9;
201210;4.3339;$/ton;2012;10;
201211;4.2619;$/ton;2012;11;
201212;4.4585;$/ton;2012;12;
201301;4.4877;$/ton;2013;1;
201302;4.4004;$/ton;2013;2;
201303;4.7296;$/ton;2013;3;
201304;4.6638;$/ton;2013;4;
201305;4.4477;$/ton;2013;5;
201306;4.2277;$/ton;2013;6;
201307;3.9331;$/ton;2013;7;
201308;4.1144;$/ton;2013;8;
201309;4.1564;$/ton;2013;9;
201310;4.2568;$/ton;2013;10;
201311;4.985;$/ton;2013;11;
201312;7.2759;$/ton;2013;12;
201401;7.6007;$/ton;2014;1;
201402;6.1315;$/ton;2014;2;
201403;5.1153;$/ton;2014;3;
201404;4.9512;$/ton;2014;4;
201405;4.8542;$/ton;2014;5;
201406;4.4427;$/ton;2014;6;
201407;4.1293;$/ton;2014;7;
201408;4.2104;$/ton;2014;8;
201409;4.1043;$/ton;2014;9;
201410;4.5416;$/ton;2014;10;
201411;4.3585;$/ton;2014;11;
201412;4.1746;$/ton;2014;12;
201501;4.8658;$/ton;2015;1;
201502;3.5971;$/ton;2015;2;
201503;3.1331;$/ton;2015;3;
201504;3.1732;$/ton;2015;4;
201505;3.1377;$/ton;2015;5;
201506;3.1279;$/ton;2015;6;
201507;3.1256;$/ton;2015;7;
201508;3.0885;$/ton;2015;8;
201509;2.9366;$/ton;2015;9;
201510;2.6913;$/ton;2015;10;
201511;2.6244;$/ton;2015;11;
201512;3.0746;$/ton;2015;12;
201601;2.7392;$/ton;2016;1;
201602;2.254;$/ton;2016;2;
201603;2.4382;$/ton;2016;3;
201604;2.4118;$/ton;2016;4;
201605;2.6848;$/ton;2016;5;
201606;2.9714;$/ton;2016;6;
201607;2.96;$/ton;2016;7;
201608;3.0765;$/ton;2016;8;
201609;3.1286;$/ton;2016;9;
201610;3.035;$/ton;2016;10;
201611;4.015;$/ton;2016;11;
201612;4.1705;$/ton;2016;12;
201701;3.6025;$/ton;2017;1;
201702;3.4002;$/ton;2017;2;
201703;3.3891;$/ton;2017;3;
201704;3.4972;$/ton;2017;4;
201705;3.2892;$/ton;2017;5;
201706;3.2108;$/ton;2017;6;
201707;3.1327;$/ton;2017;7;
201708;3.1626;$/ton;2017;8;
201709;3.1371;$/ton;2017;9;
201710;3.3841;$/ton;2017;10;
201711;3.6826;$/ton;2017;11;
201712;5.204;$/ton;2017;12;
201801;3.6297;$/ton;2018;1;
201802;3.2117;$/ton;2018;2;
201803;3.1591;$/ton;2018;3;
201804;3.0619;$/ton;2018;4;
201805;3.1255;$/ton;2018;5;
201806;3.2459;$/ton;2018;6;
201807;3.2859;$/ton;2018;7;
201808;3.1203;$/ton;2018;8;
201809;3.4078;$/ton;2018;9;
201810;4.1975;$/ton;2018;10;
201811;4.7279;$/ton;2018;11;
201812;4.021;$/ton;2018;12;
201901;3.6436;$/ton;2019;1;
201902;3.4868;$/ton;2019;2;
201903;2.8908;$/ton;2019;3;
201904;2.7659;$/ton;2019;4;
201905;2.5777;$/ton;2019;5;
201906;2.5441;$/ton;2019;6;
201907;2.4172;$/ton;2019;7;
201908;2.595;$/ton;2019;8;
201909;2.494;$/ton;2019;9;
201910;2.9773;$/ton;2019;10;
201911;2.9333;$/ton;2019;11;
201912;2.6487;$/ton;2019;12;
202001;2.4189;$/ton;2020;1;
202002;2.155;$/ton;2020;2;
202003;2.1182;$/ton;2020;3;
202004;2.1812;$/ton;2020;4;
202005;2.0236;$/ton;2020;5;
202006;2.0418;$/ton;2020;6;
202007;2.3948;$/ton;2020;7;
202008;2.4133;$/ton;2020;8;
202009;2.4917;$/ton;2020;9;
202010;2.9869;$/ton;2020;10;
202011;3.1858;$/ton;2020;11;
202012;3.2212;$/ton;2020;12;
202101;15.7293;$/ton;2021;1;
202102;3.2943;$/ton;2021;2;
202103;3.0374;$/ton;2021;3;
202104;3.2478;$/ton;2021;4;
202105;3.4601;$/ton;2021;5;
202106;3.9907;$/ton;2021;6;
202107;4.3071;$/ton;2021;7;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
