;dates;Year;Month;C02 prices
0;17.12.2008;2008;12;3.725812395
1;18.03.2009;2009;3;3.869112872
2;17.06.2009;2009;6;3.560465691
3;09.09.2009;2009;9;2.061322242
4;02.12.2009;2009;12;2.050299129
5;10.03.2010;2010;3;2.281784514
6;09.06.2010;2010;6;2.072345356
7;10.09.2010;2010;9;2.050299129
8;01.12.2010;2010;12;2.050299129
9;09.03.2011;2011;3;2.08336847
10;08.06.2011;2011;6;2.08336847
11;09.07.2011;2011;7;2.08336847
12;07.12.2011;2011;12;2.08336847
13;14.03.2012;2012;3;2.127460924
14;09.05.2012;2012;5;2.127460924
15;06.06.2012;2012;6;2.127460924
16;05.12.2012;2012;12;2.127460924
17;13.03.2013;2013;3;3.086471807
18;05.06.2013;2013;6;3.538419464
19;04.09.2013;2013;9;3.538419464
20;04.12.2013;2013;12;3.306934079
21;05.03.2014;2014;3;4.409245438
22;04.06.2014;2014;6;5.533603025
23;03.09.2014;2014;9;5.379279434
24;03.12.2014;2014;12;5.743042183
25;11.03.2015;2015;3;5.963504455
26;03.06.2015;2015;6;6.062712477
27;09.09.2015;2015;9;6.635914384
28;02.12.2015;2015;12;8.267335196
29;09.03.2016;2016;3;5.787134638
30;01.06.2016;2016;6;4.993470459
31;07.09.2016;2016;9;5.004493572
32;07.12.2016;2016;12;3.913205326
33;08.03.2017;2017;3;3.306934079
34;07.06.2017;2017;6;2.766801512
35;06.09.2017;2017;9;4.795054414
36;06.12.2017;2017;12;4.188783166
37;12.03.2018;2018;3;4.177760053
38;13.06.2018;2018;6;4.431291665
39;05.09.2018;2018;9;4.960401118
40;05.12.2018;2018;12;5.897365773
41;13.03.2019;2019;3;5.809180865
42;05.06.2019;2019;6;6.194989841
43;04.09.2019;2019;9;5.73201907
44;04.12.2019;2019;12;6.183966727
45;11.03.2020;2020;3;6.228059181
46;03.06.2020;2020;6;6.338290317
47;02.09.2020;2020;9;7.517763472
48;02.12.2020;2020;12;8.168127174
49;03.03.2021;2021;3;8.377566332
50;02.06.2021;2021;6;8.785421535
